individuals,continent,country,state,year,platform,instrument,strat,long,lat
Pd_64,N_America,USA,Maryland,2010,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED,-78.82067,39.69717
Pd_65,N_America,USA,New York,2009,ILLUMINA,Illumina HiSeq 2000,PAIRED,-74.28848912,41.94997136
Pd_66,N_America,USA,Vermont,2010,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED,-72.942555,43.45117
Pd_67,N_America,Canada,Ontario,2010,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED,-80.100126,48.174337
Pd_68,N_America,USA,Tennessee,2010,LS454,Illumina Genome Analyzer IIx,PAIRED,-84.971274,36.465316
Pd_72,N_America,Canada,New Brunswick,2012,LS454,Illumina Genome Analyzer IIx,PAIRED,-64.47694,45.93694
Pd_73,N_America,USA,Missouri,2012,LS454,Illumina MiSeq,PAIRED,-90.88167,39.04861
Pd_74,N_America,USA,Virginia,2011,LS454,Illumina Genome Analyzer IIx,PAIRED,-82.63946944,36.96823406
Pd_75,N_America,USA,Tennessee,2011,LS454,Illumina Genome Analyzer IIx,PAIRED,-87.304069,36.555459
Pd_76,N_America,USA,Indiana,2011,LS454,Illumina Genome Analyzer IIx,PAIRED,-86.29491,38.22991
Pd_77,N_America,USA,Indiana,2011,LS454,Illumina HiSeq 2000,PAIRED,-86.23360382,38.70202644
Pd_78,N_America,USA,Deleware,2012,LS454,Illumina MiSeq,PAIRED,-75.5638,39.8387
Pd_79,N_America,USA,Maine,2011,ILLUMINA,Illumina MiSeq,PAIRED,-68.21107,44.349652
Pd_82,N_America,Canada,Ontario,2014,ILLUMINA,Illumina MiSeq,PAIRED,-79.911533,43.468915
Pd_83,N_America,Canada,Nova Scotia,2013,ILLUMINA,Illumina MiSeq,PAIRED,-64.167955,44.992969
Pd_84,N_America,Canada,New Brunswick,2012,ION_TORRENT,Illumina MiSeq,PAIRED,-66.05055,45.30029
Pd_85,N_America,Canada,New Brunswick,2012,ILLUMINA,Illumina MiSeq,PAIRED,-64.47694,45.93694
