Pd_02	pop04
Pd_07	pop06
Pd_08	pop06
Pd_09	pop06
Pd_10	pop06
Pd_11	pop07
Pd_12	pop06
Pd_13	pop06
Pd_14	pop07
Pd_15	pop07
Pd_16	pop07
Pd_17	pop07
Pd_19	pop07
Pd_20	pop07
Pd_21	pop06
Pd_22	pop07
Pd_23	pop07
Pd_24	pop07
Pd_26	pop05
Pd_27	pop05
Pd_28	pop05
Pd_49	pop03
Pd_50	pop03
Pd_51	pop03
Pd_52	pop01
Pd_53	pop01
Pd_54	pop02
Pd_55	pop01
Pd_56	pop01
Pd_57	pop02
Pd_58	pop04
Pd_59	pop04
Pd_62	pop02
Pd_63	pop01
Pd_64	pop02
Pd_65	pop01
Pd_66	pop01
Pd_67	pop02
Pd_68	pop03
Pd_72	pop05
Pd_73	pop07
Pd_74	pop02
Pd_75	pop02
Pd_76	pop03
Pd_77	pop02
Pd_78	pop06
Pd_79	pop03
Pd_82	pop05
Pd_83	pop05
Pd_84	pop05
Pd_85	pop05
