ind,continent,Pop,admix
Pd_22,N_America,pop2,0.000129389634821564
Pd_22,N_America,pop3,0.000144042263855226
Pd_22,N_America,pop4,0.999338388442993
Pd_22,N_America,pop5,0.000129389634821564
Pd_22,N_America,pop6,0.000129389634821564
Pd_23,N_America,pop1,0.000129191030282527
Pd_23,N_America,pop2,0.000129191030282527
Pd_23,N_America,pop3,0.00033880872069858
Pd_23,N_America,pop4,0.999144434928894
Pd_23,N_America,pop5,0.000129191030282527
Pd_23,N_America,pop6,0.000129191030282527
Pd_24,N_America,pop1,0.000129357547848485
Pd_24,N_America,pop2,0.000129357547848485
Pd_24,N_America,pop3,0.000183244890649803
Pd_24,N_America,pop4,0.999299287796021
Pd_24,N_America,pop5,0.000129357547848485
Pd_24,N_America,pop6,0.000129357547848485
Pd_26,N_America,pop1,0.000127627092297189
Pd_26,N_America,pop2,0.000127627092297189
Pd_26,N_America,pop3,0.00430905865505338
Pd_26,N_America,pop4,0.995180428028107
Pd_26,N_America,pop5,0.000127627092297189
Pd_26,N_America,pop6,0.000127627092297189
Pd_27,N_America,pop1,0.000127533421618864
Pd_27,N_America,pop2,0.000127533421618864
Pd_27,N_America,pop3,0.0039739846251905
Pd_27,N_America,pop4,0.995515823364258
Pd_27,N_America,pop5,0.000127533421618864
Pd_27,N_America,pop6,0.000127533421618864
Pd_28,N_America,pop1,0.000129106236272492
Pd_28,N_America,pop2,0.000129106236272492
Pd_28,N_America,pop3,0.000855688762385398
Pd_28,N_America,pop4,0.998627841472626
Pd_28,N_America,pop5,0.000129106236272492
Pd_28,N_America,pop6,0.000129106236272492
Pd_29,N_America,pop1,0.129032537341118
Pd_29,N_America,pop2,0.0891601592302322
Pd_29,N_America,pop3,9.39846941037104e-05
Pd_29,N_America,pop4,9.39846941037104e-05
Pd_29,N_America,pop5,9.39846941037104e-05
Pd_29,N_America,pop6,0.781525373458862
Pd_30,N_America,pop1,0.000100739132903982
Pd_30,N_America,pop2,0.996977746486664
Pd_30,N_America,pop3,0.00261925393715501
Pd_30,N_America,pop4,0.000100739132903982
Pd_30,N_America,pop5,0.000100739132903982
Pd_30,N_America,pop6,0.000100739132903982
Pd_31,N_America,pop1,0.165958300232887
Pd_31,N_America,pop2,0.151400461792946
Pd_31,N_America,pop3,8.9996654423885e-05
Pd_31,N_America,pop4,0.0437012352049351
Pd_31,N_America,pop5,8.9996654423885e-05
Pd_31,N_America,pop6,0.638759970664978
Pd_32,N_America,pop1,0.452459186315536
Pd_32,N_America,pop2,5.30017423443496e-05
Pd_32,N_America,pop3,5.30017423443496e-05
Pd_32,N_America,pop4,0.52996438741684
Pd_32,N_America,pop5,0.0174173153936863
Pd_32,N_America,pop6,5.30017423443496e-05
Pd_33,N_America,pop1,0.451854556798935
Pd_33,N_America,pop2,0.00515596475452185
Pd_33,N_America,pop3,5.26824551343452e-05
Pd_33,N_America,pop4,0.52677184343338
Pd_33,N_America,pop5,0.0161122139543295
Pd_33,N_America,pop6,5.26824551343452e-05
Pd_34,N_America,pop1,0.000100309516710695
Pd_34,N_America,pop2,0.000100309516710695
Pd_34,N_America,pop3,0.000100309516710695
Pd_34,N_America,pop4,0.000100309516710695
Pd_34,N_America,pop5,0.999498426914215
Pd_34,N_America,pop6,0.000100309516710695
Pd_35,N_America,pop1,0.000106949592009187
Pd_35,N_America,pop2,0.000106949592009187
Pd_35,N_America,pop3,0.000106949592009187
Pd_35,N_America,pop4,0.000106949592009187
Pd_35,N_America,pop5,0.0318014919757843
Pd_35,N_America,pop6,0.96777069568634
Pd_36,N_America,pop1,0.000114342743472662
Pd_36,N_America,pop2,0.000114342743472662
Pd_36,N_America,pop3,0.0441537760198116
Pd_36,N_America,pop4,0.955388844013214
Pd_36,N_America,pop5,0.000114342743472662
Pd_36,N_America,pop6,0.000114342743472662
Pd_37,N_America,pop1,0.000114342787128408
Pd_37,N_America,pop2,0.000114342787128408
Pd_37,N_America,pop3,0.0441562533378601
Pd_37,N_America,pop4,0.955386400222778
Pd_37,N_America,pop5,0.000114342787128408
Pd_37,N_America,pop6,0.000114342787128408
Pd_39,N_America,pop1,0.000114342801680323
Pd_39,N_America,pop2,0.000114342801680323
Pd_39,N_America,pop3,0.0441558547317982
Pd_39,N_America,pop4,0.955386698246002
Pd_39,N_America,pop5,0.000114342801680323
Pd_39,N_America,pop6,0.000114342801680323
Pd_45,N_America,pop1,0.000114342525193933
Pd_45,N_America,pop2,0.000114342525193933
Pd_45,N_America,pop3,0.0441531613469124
Pd_45,N_America,pop4,0.955389380455017
Pd_45,N_America,pop5,0.000114342525193933
Pd_45,N_America,pop6,0.000114342525193933
Pd_47,Europe,pop1,0.000693196489010006
Pd_47,Europe,pop2,9.9430420959834e-05
Pd_47,Europe,pop3,0.994204819202423
Pd_47,Europe,pop4,0.0048036347143352
Pd_47,Europe,pop5,9.9430420959834e-05
Pd_47,Europe,pop6,9.9430420959834e-05
Pd_48,Europe,pop1,0.000100751341960859
Pd_48,Europe,pop2,0.000100751341960859
Pd_48,Europe,pop3,0.997860968112946
Pd_48,Europe,pop4,0.00173599552363157
Pd_48,Europe,pop5,0.000100751341960859
Pd_48,Europe,pop6,0.000100751341960859
Pd_49,N_America,pop1,0.000128648214740679
Pd_49,N_America,pop2,0.000128648214740679
Pd_49,N_America,pop3,0.00278831808827817
Pd_49,N_America,pop4,0.996697068214417
Pd_49,N_America,pop5,0.000128648214740679
Pd_49,N_America,pop6,0.000128648214740679
Pd_50,N_America,pop1,0.000128584812046029
Pd_50,N_America,pop2,0.000128584812046029
Pd_50,N_America,pop3,0.00359733495861292
Pd_50,N_America,pop4,0.995888292789459
Pd_50,N_America,pop5,0.000128584812046029
Pd_50,N_America,pop6,0.000128584812046029
Pd_51,N_America,pop1,0.000128725368995219
Pd_51,N_America,pop2,0.000128725368995219
Pd_51,N_America,pop3,0.00248365337029099
Pd_51,N_America,pop4,0.99700140953064
Pd_51,N_America,pop5,0.000128725368995219
Pd_51,N_America,pop6,0.000128725368995219
Pd_52,N_America,pop1,0.000128485859022476
Pd_52,N_America,pop2,0.000128485859022476
Pd_52,N_America,pop3,0.00350021990016103
Pd_52,N_America,pop4,0.995985805988312
Pd_52,N_America,pop5,0.000128485859022476
Pd_52,N_America,pop6,0.000128485859022476
Pd_53,N_America,pop1,0.000128484913147986
Pd_53,N_America,pop2,0.000128484913147986
Pd_53,N_America,pop3,0.00305924564599991
Pd_53,N_America,pop4,0.996426820755005
Pd_53,N_America,pop5,0.000128484913147986
