individuals,continent,country,state,year,platform,instrument,strat,lat,long
Pd_70,Asia,Mongolia,NA,2016,LS454,Illumina HiSeq 2500,PAIRED,46.82308,102.503703
Pd_71,Asia,Mongolia,NA,2016,LS454,Illumina HiSeq 2500,PAIRED,46.82308,102.503703
Pd_72,N_America,Canada,New Brunswick,2012,LS454,Illumina Genome Analyzer IIx,PAIRED,45.93694,-64.47694
Pd_73,N_America,USA,Missouri,2012,LS454,Illumina MiSeq,PAIRED,39.04861,-90.88167
Pd_74,N_America,USA,Virginia,2011,LS454,Illumina Genome Analyzer IIx,PAIRED,36.96823406,-82.63946944
Pd_75,N_America,USA,Tennessee,2011,LS454,Illumina Genome Analyzer IIx,PAIRED,36.555459,-87.304069
Pd_76,N_America,USA,Indiana,2011,LS454,Illumina Genome Analyzer IIx,PAIRED,38.22991,-86.29491
Pd_77,N_America,USA,Indiana,2011,LS454,Illumina HiSeq 2000,PAIRED,38.70202644,-86.23360382
Pd_78,N_America,USA,Deleware,2012,LS454,Illumina MiSeq,PAIRED,39.8387,-75.5638
Pd_79,N_America,USA,Maine,2011,ILLUMINA,Illumina MiSeq,PAIRED,44.349652,-68.21107
Pd_80,Europe,Ukraine,NA,2011,ILLUMINA,Illumina MiSeq,PAIRED,50.45,30.5
Pd_81,Europe,France,Aquitaine,2009,ILLUMINA,Illumina MiSeq,PAIRED,45.1,0.7
Pd_82,N_America,Canada,Ontario,2014,ILLUMINA,Illumina MiSeq,PAIRED,43.468915,-79.911533
Pd_83,N_America,Canada,Nova Scotia,2013,ILLUMINA,Illumina MiSeq,PAIRED,44.992969,-64.167955
Pd_84,N_America,Canada,New Brunswick,2012,ION_TORRENT,Illumina MiSeq,PAIRED,45.30029,-66.05055
Pd_85,N_America,Canada,New Brunswick,2012,ILLUMINA,Illumina MiSeq,PAIRED,45.93694,-64.47694
