# [1]Quality	[2]Number of sites	[3]Marginal Ts/Tv
588259.9	33053	1.976943	1.976943
44825.9	66097	1.942738	1.959744
41743.9	99146	1.962176	1.960554
39378.9	132196	1.956965	1.959656
37389.9	165245	1.986805	1.965046
35624.9	198310	1.964673	1.964984
33997.9	231354	1.975865	1.966533
32406.9	264406	1.953181	1.964858
30832.9	297457	1.997008	1.968396
29310.9	330505	2.001908	1.971713
27885.9	363562	2.029973	1.976917
26577.9	396622	2.015323	1.980081
25345.9	429684	1.968130	1.979158
24127.9	462750	2.021106	1.982117
22927.9	495807	1.944157	1.979556
21804.9	528859	1.983032	1.979773
20786.9	561926	2.009648	1.981514
19888.9	594984	2.069737	1.986283
19080.9	628056	2.066197	1.990387
18339.9	661126	2.084313	1.994949
17636.9	694204	2.040257	1.997077
16961.9	727276	2.099531	2.001589
16310.9	760344	2.009191	2.001919
15682.9	793399	2.061782	2.004366
15064.9	826462	2.033581	2.005524
14454.9	859537	1.966634	2.004009
13834.9	892582	1.995377	2.003688
13210.9	925648	1.982412	2.002923
12605.9	958750	2.028822	2.003810
12043.9	991800	2.101248	2.006958
11560.9	1024895	2.179155	2.012226
11144.9	1057958	2.219377	2.018296
10774.9	1091067	2.193076	2.023318
10445.9	1124157	2.154132	2.027013
10144.9	1157221	2.197679	2.031636
9868.5	1190656	2.222340	2.036683
9611.2	1223702	2.244894	2.041954
9375.8	1257374	2.266906	2.047574
9161.2	1290419	2.193371	2.051141
8959.8	1323521	2.241163	2.055621
8778.2	1356604	2.170388	2.058321
8603.2	1389882	2.172960	2.060969
8441.2	1422960	2.222720	2.064545
8283.6	1456069	2.239628	2.068315
8129.2	1489565	2.159404	2.070306
7991.2	1522713	2.121281	2.071398
7849.2	1555778	2.144555	2.072917
7708.8	1588834	2.178462	2.075042
7568.2	1621904	2.113643	2.075819
7430.2	1654982	2.092847	2.076158
7291.2	1688025	2.023701	2.075113
7150.8	1721068	2.067490	2.074967
7008.7	1754118	2.011664	2.073749
6867.4	1788787	2.017319	2.072636
6731.2	1821856	2.042506	2.072083
6589.2	1854903	2.048054	2.071652
6447.3	1887946	1.999274	2.070355
6304.4	1921009	2.063658	2.070240
6161.2	1954052	2.024531	2.069455
6014.8	1987896	2.052859	2.069171
5876.2	2021008	2.009635	2.068177
5727.2	2054136	2.004262	2.067124
5569.2	2087187	1.958908	2.065349
5422.2	2120230	1.948425	2.063456
5254.7	2153278	1.963946	2.061878
5095.1	2186322	1.886443	2.059068
4920.3	2219381	1.880457	2.056245
4738.3	2252425	1.833476	2.052724
4542.3	2285789	1.806528	2.048820
4346.2	2318840	1.801644	2.044991
4127.3	2351885	1.756966	2.040528
3926.6	2384928	1.751062	2.036102
3710.8	2418507	1.758709	2.031869
3491.2	2451683	1.716672	2.027117
3266.3	2484730	1.802493	2.023893
3042.7	2517773	1.762100	2.020136
2847.9	2550975	1.808255	2.017174
2636.5	2584019	1.846412	2.014861
2452.9	2617065	1.905398	2.013427
2262.8	2650112	1.902424	2.011991
2078.0	2683239	1.960411	2.011343
1904.7	2716917	1.929286	2.010298
1736.2	2749992	1.993755	2.010098
1557.3	2783051	2.013857	2.010142
1419.5	2816095	2.073289	2.010868
1274.2	2849138	2.093335	2.011799
1142.5	2882647	2.229783	2.014164
1016.5	2915690	2.205258	2.016202
903.6	2948896	2.251346	2.018660
791.6	2981968	2.185820	2.020418
690.3	3015012	2.193583	2.022214
596.7	3048060	2.211038	2.024142
502.6	3081156	2.289861	2.026768
419.5	3114605	2.352275	2.029928
341.4	3147790	2.365277	2.033114
252.9	3181056	2.435151	2.036831
206.6	3214735	2.398829	2.040223
161.2	3247789	2.494080	2.044248
113.3	3282636	2.813417	2.050780
71.6	3304218	2.509839	2.053388
